File,RPM,Torque,Average Power,Peak Power,Energy,Time
data/12_11.json,38,64410,28174.1892,250703.1446,4632.456474,586
data/12_11.json,38,64810,28189.01496,254060.2326,4634.894155,586
data/12_11.json,38,64910,28194.46864,254910.8985,4635.79086,586
data/12_11.json,38,60860,28197.36828,241761.5131,4636.267624,586
data/12_11.json,38,64960,28195.33831,255340.3528,4635.933852,586
data/12_11.json,38,64660,28182.62032,252794.8681,4633.842735,586
data/12_11.json,38,63910,28174.20512,251908.1533,4632.459091,586
data/12_11.json,38,64860,28193.40914,254484.1365,4635.616654,586
data/12_11.json,68,13760,33247.54122,87620.55404,5457.298433,585
data/12_11.json,68,13660,32884.96747,85036.32489,5407.012048,586
data/12_11.json,50,13910,31812.65869,72586.12447,5230.700896,586
data/12_11.json,50,14010,31933.23064,73172.38834,5246.045606,585.5
data/12_11.json,50,14160,32209.55592,74016.82249,5282.403322,584.5
data/12_11.json,50,14060,32053.89486,73610.20275,5261.371632,585
data/12_11.json,78,13760,33247.54122,87620.55404,5457.298433,585
data/12_11.json,78,13660,32884.96747,85036.32489,5407.012048,586
data/12_11.json,74,13760,33247.54122,87620.55404,5457.298433,585
data/12_11.json,74,13660,32884.96747,85036.32489,5407.012048,586
data/12_11.json,76,13760,33247.54122,87620.55404,5457.298433,585
data/12_11.json,76,13660,32884.96747,85036.32489,5407.012048,586
data/12_11.json,72,13760,33247.54122,87620.55404,5457.298433,585
data/12_11.json,72,13660,32884.96747,85036.32489,5407.012048,586
data/12_11.json,44,15660,29752.60791,72110.86321,4891.98323,586
data/12_11.json,44,15910,29979.1621,73261.61907,4920.822062,585
data/12_11.json,46,14660,30542.68978,70618.26455,5021.89007,586
data/12_11.json,46,14910,30734.53007,71748.69222,5044.809229,585
data/12_11.json,70,13760,33247.54122,87620.55404,5457.298433,585
data/12_11.json,70,13660,32884.96747,85036.32489,5407.012048,586
data/12_11.json,40,22260,28286.87925,93228.83001,4650.985196,586
data/12_11.json,40,23260,28623.79582,96856.40135,4690.318956,584
data/12_11.json,40,22760,28417.08609,95090.93362,4664.420697,585
data/12_11.json,42,17710,29053.66675,77792.72041,4772.985937,585.5
data/12_11.json,42,18210,29306.52767,80067.43572,4802.191965,584
data/12_11.json,42,17810,29083.62619,78294.15145,4773.827531,585
data/12_11.json,42,17960,29156.12871,78824.03507,4781.637831,584.5
data/12_11.json,52,13910,32529.68588,75665.56216,5339.468641,585
data/12_11.json,58,13760,33108.68494,83294.08172,5434.506367,585
