dist,speed
0,36
3.9999998,36.3241233
5.000001,36.0799496
6.000001,35.8351156
6.999999,35.5884458
7.9999995,35.337172
9,35.0840263
10,34.8300979
11,34.5748232
13,34.0614786
14,33.8052338
15.000001,33.552721
17,33.0583283
18,32.8128934
20,32.3379873
21.0000019,32.1178525
23.0000019,31.7197876
24.9999981,31.3645216
26,31.2056457
28,30.9389361
30.0000019,30.7324699
32,30.5790672
34,30.4471139
36,30.3965179
38,30.3964767
40,30.3964767
42,30.67519
45,31.0047779
47,31.289547
49,31.6576958
51,31.9791393
53.9999962,32.1547966
56,32.2013245
58,32.3074608
60.9999962,32.2207285
63,32.1526887
66,32.0315133
68,31.9488348
71,31.8079564
73,31.7173466
76,31.5752468
78,31.4926881
81,31.3753152
84,31.2449945
86,31.1723656
89,31.0830901
91,31.0662824
94,30.9915371
96,30.9915371
99,30.9915371
102,31.1246262
104,31.3825741
107,31.7355003
110,32.0322266
112,32.5357895
115,33.2588806
117.9999924,34.1519279
120,35.145401
123,36.0899277
125.9999847,37.4722672
129.0000153,39.3112717
132,41.4828415
134.9999847,43.7549515
138.0000153,46.1914233
141,45.8623886
144,45.4241542
147.0000153,44.9274405
151,44.2475922
154.0000153,43.7628418
157,43.2660857
160,42.7218159
164,41.9768296
167,41.441736
171,40.7485736
174,40.269528
176.9999847,39.851459
181,39.3739996
183.9999847,39.0645599
187,38.8310362
191.0000153,38.6339531
194,38.6339531
197,38.6339531
201,38.8789558
204,38.9715157
208,39.311264
211,39.8084869
215,40.3409576
218,40.8601723
222,41.4766273
225,42.2806473
229,43.307476
232,44.5324287
236,45.8869438
239,47.1185417
241.9999847,48.9412994
245.9999847,51.4367027
248.9999847,54.4178963
252.9999847,57.3310089
257,61.5431252
260,64.4599529
264,64.0968486
267,63.7814065
271,63.3326646
275,62.8552758
278,62.4822941
282,61.9666765
285.9999695,61.4330278
290,60.8833674
292.9999695,60.4617757
297,59.8876067
301,59.3069305
305,58.7770765
309,58.2392678
312,57.7795377
316,57.1570606
320,56.5272827
324,55.8901031
327.9999695,55.2454278
332,54.5935249
336,53.9463304
340,53.2904817
343.9999695,52.6203235
348,51.9410072
352,51.2536554
356,50.5615719
359.9999695,49.8637595
364,49.1637848
368,48.474494
371.9999695,47.7962618
376,47.1272052
380,46.4651074
384,45.8066139
387,45.3149593
391,44.6626451
394.9999695,44.0154694
398,43.5392297
401.9999695,42.9137106
405,42.4512185
408.9999695,41.8378674
412,41.3832612
415.9999695,40.7756434
419,40.3191721
422,39.8667705
424.9999695,39.4137516
429,38.8056785
431.9999695,38.3732693
435,37.9961801
438.9999695,37.5546189
442,37.2601904
445,37.0261622
449,36.8089805
452,36.7269178
454.9999695,36.6338387
458,36.6338387
461.9999695,36.6338387
465,37.1972618
468,38.2055054
471,39.502182
475,40.7879181
478,42.8450737
481,45.5969162
484.9999695,48.5709839
488,51.0835762
492,54.7669525
494.9999695,55.1619996
498.9999695,54.7496256
502.0000305,54.4142923
506.0000305,53.9527219
509,53.6008705
513,53.1258015
517,52.6662093
520.000061,52.3425122
524.000061,51.9393759
528,51.5644075
531,51.319455
535,51.0500782
539.000061,50.8363018
542,50.7046047
546,50.5994063
550,50.5991783
554,50.5991783
557.000061,51.0101395
561.000061,51.6423035
565,52.1017456
569,52.9215813
573,54.0273323
576.000061,55.2144966
580.000061,56.2576447
584.000061,57.4818611
588,58.8098259
592,58.8980008
596,58.6794727
600,58.4334722
604.000061,58.1581904
608.000061,57.8651285
612.000061,57.5599985
616,57.242735
620,56.9121541
624,56.5675914
628,56.2039882
632,55.8147918
636.000061,55.3949521
640.000061,54.942168
644,54.4620888
648,53.9480445
652,53.3965137
656,52.8094313
659.000061,52.3487061
663.000061,51.7064662
667,51.0382634
670,50.5303091
674,49.9446661
678.000061,49.3451154
681,48.821304
685,48.1119249
688,47.5864917
692.000061,46.903238
695,46.4080615
699,45.767333
702,45.3148572
705.000061,44.9019072
709.000061,44.4036117
712,44.0662526
715.000061,43.7768242
719.000061,43.4663148
722,43.2972742
725,43.1731559
729.000061,42.993887
732,42.8800794
735,42.7466935
739,42.5011727
742.000061,42.2805879
745,42.0410679
749,41.6883814
752.000061,41.4107755
756.000061,41.0563858
759,40.8283964
763,40.5714922
766.000061,40.4258336
770.000061,40.4256516
773,40.4256516
776,40.4437027
780.000061,41.0582886
783.000061,41.3554192
787,42.225914
790,43.7236252
794,45.6941719
798.000061,47.7694016
801,50.3240242
805,53.7873116
809,57.7395515
812.000061,60.2240904
816.000061,59.9368468
820,59.5549633
824,59.1121441
827,58.7497425
831,58.2363881
835.000061,57.700386
839.000061,57.1428364
843,56.5654138
847,55.97141
851,55.3666528
855,54.7522672
859,54.1300503
862.000061,53.6596254
866,53.0325757
870,52.4075779
874,51.7849975
878,51.1642523
881.000061,50.7043584
885.000061,50.0991496
889,49.4990396
893,48.8999833
896,48.4543834
900.000061,47.8641038
904.000061,47.2762228
907,46.8381272
911,46.2520317
914.000061,45.8133797
918.000061,45.2286254
921,44.7930075
924,44.3602253
928.000061,43.7797878
931,43.3443841
934,42.9126975
937.000061,42.487528
941.000061,41.9249778
944,41.5090835
947,41.0987445
950.000061,40.7007564
953,40.3216499
957,39.8374336
960.000061,39.4936621
963,39.1700635
966,38.878683
969.000061,38.6287773
973.000061,38.3396185
976,38.1487579
979.000061,38.0045412
982,37.925148
985,37.925148
988.000061,37.925148
991,38.1618576
995.000061,38.2994308
997.999939,38.6836548
1000.999939,39.330925
1003.999939,40.1793098
1007,41.1324081
1010.999939,42.0605659
1013.999939,43.407383
1016.999939,45.1467552
1020.999878,47.1065521
1023.999939,49.0498047
1028,51.2830658
1031,52.9993431
1035,52.6175512
1038,52.2598816
1041.999878,51.7227261
1046,51.129457
1048.999878,50.6514278
1053,49.9796553
1056.999878,49.28292
1060,48.7490591
1064,48.0266827
1068,47.3074145
1071.999878,46.5747827
1074.999878,46.0094019
1079,45.2429406
1082,44.6626641
1086,43.8887847
1089,43.3147802
1092.999878,42.5629872
1096,42.0117753
1099.999878,41.2900979
1102.999878,40.7700712
1106,40.2809908
1110,39.6675927
1112.999878,39.2359497
1115.999878,38.8401317
1119,38.4921507
1122,38.1941827
1125,37.9289718
1129,37.561653
1132,37.2973979
1135,37.0086732
1138,36.6924603
1140.999878,36.3341775
1143.999878,35.9432384
1147,35.5245337
1150,35.0785524
1153,34.6337552
1156,34.214002
1158.999878,33.8320756
1162,33.4796805
1165,33.1894221
1168,32.984565
1171,32.85356
1173.999878,32.6939087
1176.999878,32.6939087
1180,32.6939087
1183,33.1857948
1186,34.1128349
1189,35.2696266
1191,36.5602608
1194,38.4838257
1196.999878,40.7039337
1199.999878,41.2084176
1203,40.911157
1206,40.5372922
1209,40.1447281
1212,39.7484595
1216,39.2547136
1219,38.9230449
1222,38.6269095
1224.999878,38.3889052
1227.999878,38.2188972
1231,38.0990099
1234,37.970089
1237,37.970089
1240.999878,37.970089
1244,38.0430069
1247,38.31147
1250,38.5375481
1253,38.8629265
1255.999878,39.1494408
1260,39.0719264
1263,38.9701058
1265.999878,38.8738471
1268.999878,38.790985
1273,38.7358062
