dists,speed
847,59.893207
851,59.1556694
855,58.4034672
859,57.639567
862.000061,57.0612514
866,56.2912609
870,55.5255015
874,54.7644383
878,54.006985
881.000061,53.448544
885.000061,52.7171568
889,51.9943645
893,51.2734159
896,50.7388614
900.000061,50.0319896
904.000061,49.3286174
907,48.8054825
911,48.1037276
914.000061,47.5784078
918.000061,46.8764855
921,46.3538513
924,45.834524
928.000061,45.1339359
931,44.6066894
934,44.0831592
937.000061,43.5673747
941.000061,42.881355
944,42.3728729
947,41.869185
950.000061,41.3800265
953,40.9147027
957,40.3169378
960.000061,39.8915373
963,39.4894314
966,39.1275984
969.000061,38.8193854
973.000061,38.4588047
976,38.2167195
979.000061,38.0309687
982,37.925148
985,37.925148
988.000061,37.925148
991,38.1618576
995.000061,38.2994308
997.999939,38.6836548
1000.999939,39.330925
1003.999939,40.1793098
1007,41.1324081
1010.999939,42.0605659
1013.999939,43.407383
1016.999939,45.1467552
1020.999878,47.1065521
1023.999939,49.0498047
1028,51.2830658
1031,54.23452
1035,56.5031833
1038,56.1470059
1041.999878,55.5578712
1046,54.8698976
1048.999878,54.2981541
1053,53.4795156
1056.999878,52.6213889
1060,51.9604601
1064,51.063373
1068,50.1726189
1071.999878,49.2614874
1074.999878,48.553484
1079,47.5900507
1082,46.8591548
1086,45.8839622
1089,45.1619208
1092.999878,44.2183503
1096,43.5286753
1099.999878,42.6261666
1102.999878,41.9792163
1106,41.3766738
1110,40.6269387
1112.999878,40.1048853
1115.999878,39.6350509
1119,39.238955
1122,38.9277544
1125,38.6836432
1129,38.3414991
1132,38.1201954
1135,37.8553714
1138,37.5410643
1140.999878,37.1511874
1143.999878,36.7040878
1147,36.2082051
1150,35.6642738
1153,35.1148647
1156,34.5941565
1158.999878,34.1195306
1162,33.67682
1165,33.3115017
1168,33.0578593
1171,32.906605
1173.999878,32.6939087
1176.999878,32.6939087
1180,32.6939087
1183,33.1857948
1186,34.1128349
1189,35.2696266
1191,36.5602608
1194,38.4838257
1196.999878,40.7039337
1199.999878,41.9844031
1203,41.6569233
1206,41.2037309
1209,40.7177432
1212,40.2208891
1216,39.5976711
1219,39.1786855
1222,38.8026701
1224.999878,38.5011012
1227.999878,38.2888205
1231,38.1418868
1234,37.970089
1237,37.970089
1240.999878,37.970089
1244,38.0430069
1247,38.31147
1250,38.5375481
1253,38.8629265
1255.999878,39.1494408
1260,39.1431114
1263,39.0267871
1265.999878,38.912239
1268.999878,38.8093566
1273,38.7358599
1275.999878,38.7356453
1278.999878,38.7356453
1282,38.8773956
1286,38.9644661
1288.999878,39.1862373
1291.999878,39.5036926
1296,39.8610687
1298.999878,40.2734337
1301.999878,40.7119637
1306,41.3866997
1309,42.3527674
1311.999878,42.0093645
1314.999878,41.5218913
1318,40.9331756
1321,40.250285
1324,39.5392384
1328,38.7215066
1331,38.1287672
1334,37.4979828
1336,37.0167529
1339,36.2600186
1342,35.5675963
1344.999878,34.9388883
1347.999878,34.389968
1351,33.9546774
1354,33.649836
1357,33.4502648
1360,33.2321281
1362,33.2321281
1365,33.2321281
1367.999878,33.5082741
1370.999878,33.9959373
1374,34.5258942
1377,35.0501328
1380,35.7236061
1383,36.4593468
1385.999878,37.1797676
1389,37.8884621
1392,38.5782013
1395.999878,39.5363274
1398.999878,40.8484192
1402,42.5034142
1405,44.3929062
1408.999878,46.3227501
1412,49.2296677
1415,53.1707191
1418.999878,57.700428
1421.999878,57.7046644
1426,57.1196375
1429,56.6697628
