Distance ,Speed
0,0.240704
0.0016632,0.4428309
0.0049998,0.5496717
0.0094486,0.6400843
0.0144382,0.6913702
0.0194431,1.8451309
0.0333456,3.0260141
0.0560761,3.7641268
0.0833249,4.0117369
0.1111299,4.7982621
0.1394044,7.0614924
0.1755508,8.4737911
0.2189265,8.4811489
0.266751,8.450604
0.3149841,8.4267693
0.3644768,8.4267693
0.4173062,8.5833921
0.4738553,9.4025002
0.5328017,10.7620125
0.5923043,10.8625927
0.6521798,11.5666494
0.7161312,11.8960209
0.7839752,11.8514788
0.85383,11.8093903
0.9244545,11.7711831
0.9961912,11.73335
1.0721444,11.699636
1.1533349,11.6764755
1.2373056,11.6764755
1.321575,12.8750877
1.4066581,12.9725177
1.49619,12.9253928
1.5904384,12.8781977
1.6871996,12.8421087
1.7839607,12.8421087
1.8804269,13.5063562
1.9821929,14.7492313
2.0889637,16.6045373
2.1990714,16.5673747
2.3093975,16.5500573
2.4211733,16.5358642
2.5373979,16.5092646
2.6571491,16.4772029
2.7794907,16.4439691
2.9018323,16.4219002
3.0238011,16.3812906
3.1511476,16.3335243
3.283499,16.2991467
3.4187734,16.2991467
3.5550177,16.3656731
3.6918178,17.3146496
3.8315275,19.8960972
3.9755569,23.3288422
4.1218109,24.6249273
4.2681732,24.5879981
4.4160957,24.547783
4.5695786,24.5038773
4.7275834,24.4623149
4.8894081,24.4189905
5.0523453,24.3807643
5.2158942,24.337934
5.3871722,24.2895837
5.56568,24.2374699
5.7480803,24.1728797
5.930479,24.1048736
6.1139917,24.0364336
6.3019528,23.9665952
6.4943304,23.8943992
6.6895213,23.8207657
6.8847117,23.7508763
7.0793071,23.6922742
7.2800589,23.6463549
7.4869275,23.6463356
7.6959376,25.9719734
7.9061427,28.7278876
8.1169043,28.6753985
8.3336754,28.6101042
8.5577831,28.5458183
8.7852278,28.4827255
9.0125332,28.4256412
9.2410898,28.3698765
9.4757633,28.3073004
9.7158194,28.2398367
9.9593906,28.1654639
10.2035179,28.0878669
10.4474554,28.0106673
10.6971436,27.9321215
10.9518366,27.8553842
11.2093105,27.7812322
11.4665537,27.7004602
11.7245836,27.6165937
11.9887304,27.5336304
12.2581701,27.4564412
12.5317707,27.377604
12.8059273,27.2981477
13.0798025,27.215477
13.3622999,27.1275906
13.6525841,27.0411022
13.9458628,26.9570935
14.2405949,26.8682906
14.5358829,26.775816
14.8302717,26.6832096
15.1255598,26.5899017
15.4208479,26.4920222
15.7152367,26.3920661
16.0105247,26.292158
16.3052559,26.1932843
16.5985355,26.0932788
16.8927116,25.9918516
17.1868877,25.890317
17.4801674,25.7886896
17.7737885,25.6881206
18.0668507,25.5899755
18.3599148,25.4913774
18.6520863,25.3926246
18.9451504,25.2931445
19.2376575,25.1934232
19.5287189,25.0988634
19.8206711,25.00882
20.1126232,24.9250049
20.4036846,24.849702
20.6950798,24.7853069
20.98592,24.730615
21.2753181,24.6754131
21.5656013,24.61419
21.8558846,24.5580317
22.1497192,24.5016878
22.4483433,24.43263
22.7491932,24.3547843
23.0496788,24.2762675
23.3510838,24.1945307
23.6569386,24.1088081
23.9662952,24.017936
24.2788239,23.9301384
24.5919056,23.8470043
24.9040356,23.7689281
25.2182312,23.6961928
25.5329838,23.6219164
25.8482914,23.5461056
26.1631908,23.4627901
26.4790554,23.3731493
26.7993679,23.2795471
27.1225853,23.1832067
27.4490147,23.0921527
27.776001,23.0087006
28.1019897,22.9324983
28.431757,22.8634614
28.7643032,22.7914019
29.0969448,22.7174825
29.43116,22.6419067
29.7653751,22.5611072
30.1030083,22.4747164
30.4461193,22.3811644
30.7914581,22.3046882
31.1362953,22.2572662
31.4821892,22.2229595
31.8319759,22.2229595
32.1845741,22.5227928
32.5399246,22.7585564
32.8958244,23.1761799
33.2506447,23.7080652
33.6104393,23.6707181
33.9741287,23.6332104
34.3405952,23.6023075
34.7065048,23.5811925
35.0740852,23.5458983
35.4450035,23.5015646
35.8175621,23.4299077
36.1934814,23.3379342
36.5699615,23.2529426
36.9464035,23.1727346
37.3284416,23.0957126
37.7154846,23.0249925
38.1041222,22.9473682
38.494503,22.8669833
38.8854408,22.7911619
39.2796211,22.7249656
39.6789017,22.6741409
40.0804024,22.6741409
40.4812355,22.8648396
40.8838539,23.054327
41.2898026,24.7090435
41.6983986,25.8220664
