dist,speed
0,32
3.9999998,31.6245996
5.000001,31.4065287
6.000001,31.1878451
6.999999,30.9674755
7.9999995,30.7428975
9,30.5165991
10,30.2895698
11,30.0612946
13,29.6021231
14,29.3728814
15.000001,29.1469889
17,28.704696
18,28.4850786
20,28.0600806
21.0000019,27.86316
23.0000019,27.5071813
24.9999981,27.1894956
26,27.0474847
28,26.8091356
30.0000019,26.6247361
32,26.4877943
34,26.3695769
36,26.3241215
38,26.3241215
40,26.3241215
42,26.5654945
45,26.8509235
47,27.0975418
49,27.4163704
51,27.6947498
53.9999962,27.8468704
56,27.887167
58,27.9794083
60.9999962,27.9137668
63,27.8559599
66,27.7514721
68,27.6801355
71,27.5571517
73,27.4781177
76,27.353296
78,27.2811547
81,27.178552
84,27.0630635
86,26.9986139
89,26.9180548
91,26.9065842
94,26.8394585
96,26.8394585
99,26.8394585
102,26.9547157
104,27.1781063
107,27.4837456
110,27.7407227
112,28.1768227
115,28.8030338
117.9999924,29.5764389
120,30.4368114
123,31.2547932
125.9999847,32.4519348
129.0000153,34.0445595
132,35.9251938
134.9999847,37.8928986
138.0000153,40.1997906
141,39.9121033
144,39.523465
147.0000153,39.0811797
151,38.4752379
154.0000153,38.0435857
157,37.6008294
160,37.1146638
164,36.4485847
167,35.9701884
171,35.3501786
174,34.921703
176.9999847,34.5479219
181,34.1209322
183.9999847,33.8440207
187,33.6349687
191.0000153,33.4579849
194,33.4579849
197,33.4579849
201,33.6701622
204,33.7503242
208,34.0445518
211,34.4751587
215,34.9362946
218,35.3859482
222,35.9198151
225,36.6161156
229,37.5053749
232,38.5662155
236,39.7392578
239,40.8058548
241.9999847,42.384407
245.9999847,44.5454941
248.9999847,47.1272812
252.9999847,49.6501122
257,53.2979088
260,56.4370244
264,56.1246638
267,55.8495288
271,55.4563095
275,55.0363712
278,54.7075451
282,54.2521474
285.9999695,53.7800943
290,53.2932892
292.9999695,52.9195952
297,52.4102761
301,51.8950653
305,51.427288
309,50.9522665
312,50.5437447
316,49.990379
320,49.430403
324,48.8637252
327.9999695,48.2902592
332,47.7102535
336,47.1347224
340,46.5513294
343.9999695,45.9548617
348,45.3500689
352,44.7379815
356,44.1216322
359.9999695,43.5000949
364,42.8766341
368,42.2630274
371.9999695,41.6596001
376,41.0646037
380,40.4759801
384,39.890625
387,39.4536142
391,38.8737899
394.9999695,38.2985509
398,37.8754167
401.9999695,37.319711
405,36.9088974
408.9999695,36.3638919
412,35.9599069
415.9999695,35.4195274
419,35.0133006
422,34.6104914
424.9999695,34.2067872
429,33.6641481
431.9999695,33.2781421
435,32.9417742
438.9999695,32.5477685
442,32.2848769
445,32.0759628
449,31.882016
452,31.8094248
454.9999695,31.7258339
458,31.7258339
461.9999695,31.7258339
465,32.2137756
468,33.086937
471,34.2098923
475,35.3233719
478,37.1049232
481,39.4880867
484.9999695,42.0637093
488,44.2396736
492,47.4295692
494.9999695,47.8964642
498.9999695,47.5297981
502.0000305,47.2309522
506.0000305,46.8191103
509,46.5049269
513,46.0803536
517,45.6694648
520.000061,45.3800834
524.000061,45.0195918
528,44.6841172
531,44.4649959
535,44.2240137
539.000061,44.0326864
542,43.9146883
546,43.8201752
550,43.8201752
554,43.8201752
557.000061,44.176075
561.000061,44.7235451
565,45.1214333
569,45.8314362
573,46.7890434
576.000061,47.8171539
580.000061,48.7205505
584.000061,49.7807541
588,50.930809
592,51.3017705
596,51.1236305
600,50.9189815
604.000061,50.6863449
608.000061,50.437016
612.000061,50.1765168
616,49.9047913
620,49.6207172
624,49.323672
628,49.0088743
632,48.6701819
636.000061,48.3029324
640.000061,47.9050732
644,47.4819404
648,47.0274148
652,46.5383271
656,46.0165407
659.000061,45.6064671
