dist,speed
0,36
3.9999998,36.8978725
5.000001,36.6310247
6.000001,36.3633741
6.999999,36.0935489
7.9999995,35.8183389
9,35.5409073
10,35.2625057
11,34.9824757
13,34.4189095
14,34.1374585
15.000001,33.8601481
17,33.3171384
18,33.0473987
20,32.5252915
21.0000019,32.2835761
23.0000019,31.8468905
24.9999981,31.4572296
26,31.2831926
28,30.9912149
30.0000019,30.7656132
32,30.598257
34,30.4527328
36,30.3965225
38,30.3964767
40,30.3964767
42,30.67519
45,31.0047779
47,31.289547
49,31.6576958
51,31.9791393
53.9999962,32.1547966
56,32.2013245
58,32.3078423
60.9999962,32.2508664
63,32.1869761
66,32.0677294
68,31.9863333
71,31.8423856
73,31.7500782
76,31.6020244
78,31.5173655
81,31.3968022
84,31.2568655
86,31.1780309
89,31.0729731
91,31.0728245
94,30.9915371
96,30.9915371
99,30.9915371
102,31.1246262
104,31.3825741
107,31.7355003
110,32.0322266
112,32.5357895
115,33.2588806
117.9999924,34.1519279
120,35.145401
123,36.0899277
125.9999847,37.4722672
129.0000153,39.3112717
132,41.4828415
134.9999847,43.7549515
138.0000153,46.4972496
141,46.5266268
144,46.0579064
147.0000153,45.519993
151,44.7815927
154.0000153,44.2566066
157,43.717099
160,43.122065
164,42.3052977
167,41.7187397
171,40.9578363
174,40.4320364
176.9999847,39.9737465
181,39.4499589
183.9999847,39.10983
187,38.8528726
191.0000153,38.6339531
194,38.6339531
197,38.6339531
201,38.8789558
204,38.9715157
208,39.311264
211,39.8084869
215,40.3409576
218,40.8601723
222,41.4766273
225,42.2806473
229,43.307476
232,44.5324287
236,45.8869438
239,47.1185417
241.9999847,48.9412994
245.9999847,51.4367027
248.9999847,54.4178963
252.9999847,57.3310089
257,61.5431252
260,66.5366183
264,66.1846145
267,65.8641599
271,65.4013938
275,64.9030046
278,64.5108867
282,63.9657578
285.9999695,63.3988605
290,62.8127813
292.9999695,62.3621066
297,61.7469246
301,61.1243429
305,60.5649769
309,59.9964064
312,59.5012392
316,58.8299634
320,58.1503878
324,57.4623967
327.9999695,56.76588
332,56.0611647
336,55.3626084
340,54.6541171
343.9999695,53.9289108
348,53.193172
352,52.4482307
356,51.6980016
359.9999695,50.9412636
364,50.1822074
368,49.4359969
371.9999695,48.7030095
376,47.9809425
380,47.2670857
384,46.5573723
387,46.0276231
391,45.3247467
394.9999695,44.6274962
398,44.1150514
401.9999695,43.4422315
405,42.9450109
408.9999695,42.2849271
412,41.7955739
415.9999695,41.1399791
419,40.6464898
422,40.1566591
424.9999695,39.6648915
429,39.002003
431.9999695,38.5301466
435,38.1196054
438.9999695,37.6384034
442,37.3169037
445,37.061527
449,36.8242447
452,36.7372454
454.9999695,36.6338387
458,36.6338387
461.9999695,36.6338387
465,37.1972618
468,38.2055054
471,39.502182
475,40.7879181
478,42.8450737
481,45.5969162
484.9999695,48.5709839
488,51.0835762
492,54.7669525
494.9999695,55.5896211
498.9999695,55.145066
502.0000305,54.7810307
506.0000305,54.2781232
509,53.8938774
513,53.373727
517,52.8699834
520.000061,52.5152458
524.000061,52.0731153
528,51.6612506
531,51.3923207
535,51.0965491
539.000061,50.86154
542,50.7163
546,50.5994316
550,50.5991783
554,50.5991783
557.000061,51.0101395
561.000061,51.6423035
565,52.1017456
569,52.9215813
573,54.0273323
576.000061,55.2144966
580.000061,56.2576447
584.000061,57.4818611
588,58.8098259
592,59.8501552
596,59.6776355
600,59.4662168
604.000061,59.2150304
608.000061,58.9411778
612.000061,58.6526677
616,58.3494396
620,58.0299377
624,57.6933221
628,57.3330175
632,56.9407397
636.000061,56.5104168
640.000061,56.0395863
644,55.5355589
648,54.9904514
652,54.4003471
656,53.7678824
659.000061,53.2693732
663.000061,52.5716952
667,51.8434851
670,51.289285
674,50.6573289
678.000061,50.008669
681,49.4356522
685,48.6585185
688,48.0828771
692.000061,47.3345121
695,46.7924401
699,46.0908713
702,45.595939
705.000061,45.1452803
709.000061,44.6024419
712,44.2357786
715.000061,43.9229854
719.000061,43.5913099
722,43.4176415
725,43.3018754
729.000061,43.1319187
732,43.0372115
735,42.9175883
739,42.67061
742.000061,42.4404954
745,42.1869528
749,41.8075701
752.000061,41.5063669
756.000061,41.1195503
759,40.8704263
763,40.5876612
766.000061,40.4258538
770.000061,40.4256516
773,40.4256516
776,40.4437027
780.000061,41.0582886
783.000061,41.3554192
787,42.225914
790,43.7236252
794,45.6941719
798.000061,47.7694016
801,50.3240242
805,53.7873116
809,57.7395515
812.000061,61.3261948
816.000061,61.535285
820,61.1581178
824,60.7031617
827,60.3243427
831,59.7823583
835.000061,59.2130474
839.000061,58.6178841
843,57.9990107
847,57.3604881
851,56.7093769
855,56.0470386
859,55.3756276
862.000061,54.8677701
866,54.1910523
870,53.5170119
874,52.8460474
878,52.1774239
881.000061,51.6828163
885.000061,51.0328942
889,50.3891
893,49.7465608
896,49.26907
900.000061,48.6368564
904.000061,48.0073376
907,47.5384624
911,46.9106129
914.000061,46.4406418
918.000061,45.8136303
921,45.3465645
924,44.8824738
928.000061,44.2588559
931,43.7905418
934,43.325972
937.000061,42.8683352
941.000061,42.2617814
944,41.8129525
947,41.3695333
950.000061,40.9392572
953,40.5295375
957,40.0052274
960.000061,39.6326791
963,39.2815079
966,38.965342
969.000061,38.6947148
973.000061,38.3804118
976,38.1717949
979.000061,38.0133524
982,37.925148
985,37.925148
988.000061,37.925148
991,38.1618576
995.000061,38.2994308
997.999939,38.6836548
1000.999939,39.330925
1003.999939,40.1793098
1007,41.1324081
1010.999939,42.0605659
1013.999939,43.407383
1016.999939,45.1467552
1020.999878,47.1065521
1023.999939,49.0498047
1028,51.2830658
1031,54.23452
1035,54.0096295
1038,53.6461133
1041.999878,53.0861433
1046,52.4575263
1048.999878,51.9461387
1053,51.2231615
1056.999878,50.4706889
1060,49.8931173
1064,49.110769
1068,48.3324771
1071.999878,47.5385933
1074.999878,46.9245102
1079,46.0909576
1082,45.4594481
1086,44.6171344
1089,43.9927782
1092.999878,43.1757411
1096,42.5773999
1099.999878,41.7943029
1102.999878,41.231169
1106,40.7035024
1110,40.0438671
1112.999878,39.5816354
1115.999878,39.1607938
1119,38.7962851
1122,38.4925281
1125,38.2307272
1129,37.8659638
1132,37.6084175
1135,37.3207247
1138,36.9990945
1140.999878,36.6257247
1143.999878,36.2123671
1147,35.7649116
1150,35.2839081
1153,34.8022169
1156,34.3469948
1158.999878,33.9325356
1162,33.5487953
1165,33.2325725
1168,33.0105982
1171,32.8712512
1173.999878,32.6939087
1176.999878,32.6939087
1180,32.6939087
1183,33.1857948
1186,34.1128349
1189,35.2696266
1191,36.5602608
1194,38.4838257
1196.999878,40.7039337
1199.999878,41.4827506
1203,41.1714452
1206,40.7688682
1209,40.3433253
1212,39.9119981
1216,39.3733961
1219,39.0114854
1222,38.6878141
1224.999878,38.4278619
1227.999878,38.2430214
1231,38.1133076
1234,37.970089
1237,37.970089
1240.999878,37.970089
1244,38.0430069
1247,38.31147
1250,38.5375481
1253,38.8629265
1255.999878,39.1494408
1260,39.0978944
1263,38.9902392
1265.999878,38.8871173
1268.999878,38.797113
1273,38.7358241
1275.999878,38.7356453
1278.999878,38.7356453
1282,38.8773956
1286,38.9644661
1288.999878,39.1862373
1291.999878,39.5036926
1296,39.8610687
1298.999878,40.2734337
1301.999878,40.7119637
1306,41.3866997
1309,41.282437
1311.999878,40.9208341
1314.999878,40.4624017
1318,39.9315028
1321,39.3312364
1324,38.7105866
1328,37.9837443
1331,37.4552524
1334,36.8997297
1336,36.4835303
1339,35.8345303
1342,35.2398979
1344.999878,34.7001562
1347.999878,34.2291805
1351,33.8548363
1354,33.5903277
1357,33.4140076
1360,33.2321281
1362,33.2321281
1365,33.2321281
1367.999878,33.5082741
1370.999878,33.9959373
1374,34.5258942
1377,35.0501328
1380,35.7236061
1383,36.4593468
1385.999878,37.1797676
1389,37.8884621
1392,38.5782013
1395.999878,39.5363274
1398.999878,40.8484192
1402,42.5034142
1405,44.3929062
1408.999878,46.3227501
1412,49.2296677
1415,53.1707191
1418.999878,55.5608289
1421.999878,55.2390694
1426,54.6890883
1429,54.2682113
1433,53.6700097
1436.999878,53.057826
1439.999878,52.5195103
1444,51.7795929
1448,51.0273673
1451,50.455124
1454.999878,49.6803283
1459,48.8886233
1463,48.0815889
1466,47.4666117
1469.999878,46.6749965
1472.999878,46.0740212
1477,45.2557903
1480,44.6298124
1484,43.789819
1487,43.1742874
1490.999878,42.381962
1494,41.812927
1497,41.2710575
1500.999878,40.5985825
1504,40.1477044
1507,39.7546543
1510.999878,39.2831609
1514,38.9945253
1517,38.7965805
1520,38.7963257
1523.999878,38.7963257
1527,38.8431625
1530,38.8768845
1533,39.3919678
1537,40.4508934
1540,41.972641
1543,43.7672272
1546.999878,45.6925163
1550,48.6375504
1554,50.2590016
1556.999878,49.8693881
1560,49.4164338
1564,48.7472527
1568,48.059698
1571,47.5324919
1574.999878,46.7903903
1578,46.2218221
1582,45.4605784
1584.999878,44.910597
1589,44.2214885
1592,43.7460277
1596,43.1566037
1599,42.7587705
1602.999878,42.2986434
1606,42.0172365
1610,41.7069562
1612.999878,41.5051578
1615.999878,41.3676432
1620,41.3068735
1622.999878,41.3066406
1627,41.3066406
1630,41.6108894
1634,41.8232422
1637,42.3237953
1640.999878,43.1630898
1643.999878,44.3040352
1648,45.6515884
1650.999878,46.9989128
1655,48.2548012
1658.999878,47.8154257
1662,47.388736
1666,46.7340239
1670,46.0020335
1673,45.4109907
1676.999878,44.60429
1681,43.9467542
1685,43.2612861
1688,42.6168156
1691.999878,41.7358862
1694.999878,41.0809616
1699,40.2193473
1702,39.5814028
