dist,speed
0,35
3.9999998,34.0928777
5.000001,33.833148
6.000001,33.57258
6.999999,33.3097693
7.9999995,33.0414441
9,32.7708246
10,32.4991773
11,32.2258274
13,31.675377
14,31.4003771
15.000001,31.1294612
17,30.5989343
18,30.3352687
20,29.8247896
21.0000019,29.5886975
23.0000019,29.1624925
24.9999981,28.7822458
26,28.612591
28,28.3281134
30.0000019,28.1086595
32,27.9461085
34,27.8034964
36,27.7480602
38,27.7480602
40,27.7480602
42,28.002491
45,28.3033619
47,28.5633163
49,28.8993912
51,29.1928272
53.9999962,29.3531818
56,29.3956566
58,29.4928894
60.9999962,29.4563581
63,29.4015328
66,29.2947233
68,29.2221274
71,29.0892435
73,29.0044139
76,28.865591
78,28.7875361
81,28.6771992
84,28.5440785
86,28.4691353
89,28.3655084
91,28.3654785
94,28.2912731
96,28.2912731
99,28.2912731
102,28.4127617
104,28.648241
107,28.9704151
110,29.241291
112,29.7009792
115,30.361063
117.9999924,31.1763039
120,32.0832176
123,32.945446
125.9999847,34.2073441
129.0000153,35.8861198
132,37.8684807
134.9999847,39.9426231
138.0000153,42.4459877
141,42.9420867
144,42.4940815
147.0000153,41.9744551
151,41.2594574
154.0000153,40.7523854
157,40.2300887
160,39.6508963
164,38.8540811
167,38.2819534
171,37.5389424
174,37.0255752
176.9999847,36.5786045
181,36.06747
183.9999847,35.7350476
187,35.4837228
191.0000153,35.267984
194,35.2678108
197,35.2678108
201,35.4914665
204,35.5759659
208,35.8861084
211,36.3400116
215,36.826088
218,37.3000641
222,37.8628082
225,38.5967751
229,39.5341339
232,40.6523628
236,41.8888588
239,43.0131454
241.9999847,44.6770897
245.9999847,46.9550705
248.9999847,49.6765175
252.9999847,52.3358154
257,56.1809273
260,61.3866806
264,61.8605044
267,61.5678692
271,61.1389569
275,60.6716625
278,60.301675
282,59.7847466
285.9999695,59.2449422
290,58.6851041
292.9999695,58.2536839
297,57.6636645
301,57.0662278
305,56.5366574
309,55.9977328
312,55.5208138
316,54.8736484
320,54.2181712
324,53.5542662
327.9999695,52.881822
332,52.2011852
336,51.5273792
340,50.843551
343.9999695,50.1426253
348,49.431062
352,48.7102383
356,47.9842061
359.9999695,47.2516729
364,46.5169492
368,45.7956836
371.9999695,45.0882224
376,44.3921349
380,43.7045583
384,43.0212179
387,42.5113014
391,41.8347586
394.9999695,41.1637467
398,40.6711398
401.9999695,40.0246193
405,39.5470753
408.9999695,38.9126193
412,38.4422229
415.9999695,37.8108317
419,37.3348105
422,36.8617515
424.9999695,36.3858243
429,35.7420547
431.9999695,35.2834469
435,34.8852023
438.9999695,34.4180503
442,34.1054281
445,33.8572344
449,33.6263558
452,33.5441328
454.9999695,33.4423346
458,33.4419632
461.9999695,33.4419632
465,33.9562988
468,34.8766975
471,36.0603905
475,37.234108
478,39.1120224
481,41.6240997
484.9999695,44.3390427
488,46.6327133
492,49.9951553
494.9999695,51.048743
498.9999695,50.6210896
502.0000305,50.2688291
506.0000305,49.7807233
509,49.4070886
513,48.900238
517,48.4089565
